Frequency (Hz),Magnitude (dB),Phase (°)
174.872836,60.492244735,7.3401170589
188.030155,60.505960103,6.7857567172
202.177421,60.527568743,6.1829431518
217.389119,60.521637301,5.7106758147
233.745336,60.489535711,5.1826854675
251.332183,60.555835959,5.0085309899
270.242253,60.535732633,4.710760514
290.575105,60.509638253,4.261483321
312.437787,60.506953274,3.8774491715
335.945403,60.518201695,3.5761192677
361.221717,60.538007826,3.3671260415
388.399805,60.53953129,3.3289240916
417.622754,60.5172131,2.9222777654
449.044419,60.524610103,2.7151412549
482.830229,60.524640204,2.5039891786
519.158062,60.50818836,2.3457715757
558.219178,60.538437233,2.1675415014
600.219227,60.536971509,1.9408422799
645.379332,60.532982215,1.7676066395
693.937253,60.540072802,1.7098275866
746.148642,60.529625644,1.5668363128
802.288381,60.529995175,1.4632455216
862.652038,60.524457906,1.2761812473
927.557418,60.539864018,1.2918626369
997.346235,60.536789435,1.0889613528
1072.385919,60.53345196,0.9067339784
1153.071539,60.523327744,0.76472653917
1239.827893,60.548867302,0.69306533388
1333.111739,60.537045613,0.68352665578
1433.414201,60.516392241,0.49181234771
1541.263354,60.532853766,0.4820915119
1657.227009,60.535524538,0.40224217405
1781.915693,60.546033182,0.28370928682
1915.985873,60.526375245,0.20716775192
2060.143406,60.519226383,0.057285456121
2215.147258,60.524782402,0.082280227224
2381.8135,60.529300327,-0.033733239546
2561.019601,60.522738202,-0.182434632
2753.709054,60.534204482,-0.20755526326
2960.896335,60.512745793,-0.30899483946
3183.672253,60.53698214,-0.40668868882
3423.209687,60.53593064,-0.42741101885
3680.769761,60.561846037,-0.51974420229
3957.708488,60.535090018,-0.50868533429
4255.483905,60.543398854,-0.7973375309
4575.663752,60.569436103,-0.85665211492
4919.933722,60.519392108,-0.9259525369
5290.106341,60.573360081,-1.0837992676
5688.130508,60.532925841,-0.99048657018
6116.101754,60.556082481,-1.1186184157
6576.27328,60.545172769,-1.4607721206
7071.067812,60.519304427,-1.4234430115
7603.090363,60.557645713,-1.5317638415
8175.141946,60.523131058,-1.5554818967
8790.234319,60.54517873,-1.8056767585
9451.605842,60.577536242,-1.9310682949
10162.73853,60.512407752,-2.2540071714
10927.376379,60.544629984,-2.4769245228
11749.545084,60.562473396,-2.5981504218
12633.573228,60.533257609,-2.7132043878
13584.115076,60.560986181,-3.0806493216
14606.175075,60.552903989,-3.317781974
15705.134205,60.545704719,-3.6199275357
16886.778307,60.545624836,-3.9676395747
18157.328544,60.535425028,-4.0679430181
19523.474155,60.571587517,-4.4475121263
20992.407676,60.569066105,-4.7934156022
22571.862801,60.579567532,-5.175896144
24270.155104,60.594797367,-5.6831910291
26096.225818,60.510843242,-6.0240749736
28059.688906,60.561185421,-6.6603436224
30170.881683,60.525756745,-7.0011101368
32440.919233,60.584535945,-7.5217783817
34881.752935,60.60772592,-8.1116605773
37506.233381,60.588612003,-8.6954281855
40328.178031,60.573901226,-9.5729420685
43362.443964,60.583556917,-10.280649869
46625.006097,60.566726403,-10.974704033
50133.041286,60.538659597,-11.574291063
53905.018765,60.565672899,-12.798517117
57960.797381,60.5817647,-13.322825957
62321.730148,60.556849069,-14.573588393
67010.776664,60.566663664,-15.6283172
72052.623996,60.561181953,-17.130783742
77473.816648,60.578058411,-17.899728771
83302.896316,60.565139072,-19.801665247
89570.552153,60.589176069,-21.321623646
96309.782347,60.577308866,-22.778679595
103556.06785,60.577107099,-24.53580657
111347.55916,60.53783378,-26.470982889
119725.27722,60.570262815,-28.43575215
128733.32936,60.582637617,-30.510947515
138419.14148,60.600474095,-32.862881627
148833.70782,60.603588446,-34.95766513
160031.85937,60.601249602,-37.759387894
172072.55258,60.625897495,-40.734603717
185019.17972,60.538294885,-44.395198219
198939.90269,60.628451193,-47.419705257
213908.01181,60.605027768,-50.707289433
230002.31175,60.622020611,-54.779226938
247307.53637,60.613623486,-59.433084934
265914.79485,60.673794356,-63.939145622
285922.05138,60.679107922,-68.903588891
307434.6409,60.669153328,-74.375016903
330565.82369,60.65736325,-80.297479011
355437.38166,60.673791552,-86.805999347
382180.2595,60.647304264,-93.820548585
410935.25411,60.685650072,-101.41244203
441853.75584,60.679555324,-109.95052684
475098.54558,60.673006222,-119.61886435
510844.65171,60.602347703,-130.17897696
549280.27165,60.504235383,-141.47395935
590607.76269,60.284536645,-154.80003474
635044.70733,59.9942372,-169.45647429
682825.05883,59.455390685,174.50395726
