I1 (A),V1 (V),P1 (W),I2 (A),V2 (V),P2 (W),Efficiency (%),Ploss (W)
8.143E-02,11.9990,0.977,2.999E-01,1.5028,0.451,46.13,0.526
8.775E-02,12.0000,1.053,3.500E-01,1.5028,0.526,49.95,0.527
9.407E-02,11.9970,1.129,3.999E-01,1.5033,0.601,53.27,0.527
1.004E-01,12.0000,1.205,4.500E-01,1.5028,0.676,56.13,0.529
1.067E-01,11.9990,1.280,4.999E-01,1.5033,0.751,58.70,0.529
1.130E-01,12.0000,1.356,5.499E-01,1.5033,0.827,60.96,0.529
1.193E-01,12.0000,1.432,6.000E-01,1.5033,0.902,63.01,0.530
1.256E-01,12.0000,1.507,6.500E-01,1.5028,0.977,64.81,0.530
1.320E-01,12.0000,1.584,7.000E-01,1.5028,1.052,66.41,0.532
1.383E-01,12.0020,1.660,7.500E-01,1.5038,1.128,67.95,0.532
1.445E-01,11.9990,1.734,8.000E-01,1.5038,1.203,69.39,0.531
1.509E-01,11.9980,1.810,8.500E-01,1.5028,1.277,70.55,0.533
1.572E-01,12.0000,1.886,9.000E-01,1.5028,1.353,71.70,0.534
1.636E-01,11.9990,1.963,9.501E-01,1.5028,1.428,72.73,0.535
1.699E-01,12.0000,2.039,1.000E+00,1.5028,1.503,73.71,0.536
2.333E-01,12.0010,2.800,1.500E+00,1.5038,2.256,80.57,0.544
2.972E-01,11.9990,3.566,2.000E+00,1.5033,3.007,84.31,0.560
3.619E-01,12.0000,4.343,2.500E+00,1.5028,3.757,86.51,0.586
4.273E-01,12.0000,5.128,3.000E+00,1.5028,4.508,87.92,0.619
4.940E-01,12.0000,5.928,3.501E+00,1.5028,5.261,88.75,0.667
5.611E-01,12.0000,6.733,4.001E+00,1.5028,6.013,89.30,0.720
6.288E-01,12.0020,7.547,4.501E+00,1.5038,6.769,89.69,0.778
6.963E-01,12.0010,8.356,5.000E+00,1.5038,7.519,89.98,0.837
7.620E-01,12.0010,9.145,5.499E+00,1.5038,8.269,90.43,0.875
8.280E-01,11.9990,9.935,6.000E+00,1.5033,9.020,90.79,0.915
8.939E-01,12.0000,10.727,6.500E+00,1.5033,9.771,91.09,0.955
9.599E-01,11.9990,11.518,7.001E+00,1.5033,10.525,91.38,0.993
1.026E+00,12.0000,12.312,7.500E+00,1.5028,11.271,91.54,1.041
1.092E+00,12.0000,13.104,8.001E+00,1.5033,12.028,91.79,1.076
1.158E+00,12.0000,13.896,8.501E+00,1.5028,12.775,91.94,1.121
1.225E+00,11.9990,14.699,9.000E+00,1.5033,13.530,92.05,1.169
1.291E+00,12.0010,15.493,9.500E+00,1.5028,14.277,92.15,1.217
1.359E+00,11.9980,16.305,1.000E+01,1.5038,15.038,92.23,1.267
