Frequency (Hz),Magnitude (dB),Phase (°)
5688.130508,60.541945214,-1.2162963483
6116.101754,60.537190731,-1.2430344594
6576.27328,60.507074186,-1.3051800875
7071.067812,60.530850648,-1.4967346937
7603.090363,60.552780352,-1.5848657401
8175.141946,60.531719823,-1.7229393547
8790.234319,60.536845379,-1.8323446045
9451.605842,60.54670899,-2.1322051273
10162.73853,60.546275482,-2.1490757549
10927.376379,60.514543705,-1.9224443355
11749.545084,60.530228807,-2.536357668
12633.573228,60.52861018,-3.0354420227
13584.115076,60.516761478,-3.0148991445
14606.175075,60.533122491,-3.4199899476
15705.134205,60.508890175,-3.6257847699
16886.778307,60.5205911,-3.8778918919
18157.328544,60.543630038,-4.1034216012
19523.474155,60.558443561,-4.3026774297
20992.407676,60.540382319,-4.7653605338
22571.862801,60.515075994,-5.1992915159
24270.155104,60.512099389,-5.7538257188
26096.225818,60.574930237,-6.2446973599
28059.688906,60.538246935,-6.5106223965
30170.881683,60.50200861,-6.8113276026
32440.919233,60.527240871,-7.4457782426
34881.752935,60.54200758,-7.9998252303
37506.233381,60.535422378,-8.6202273879
40328.178031,60.509568209,-9.3162546069
43362.443964,60.537899918,-10.065108005
46625.006097,60.555055776,-10.827458118
50133.041286,60.50075945,-11.523592553
53905.018765,60.538908011,-12.561857
57960.797381,60.528570345,-13.492013982
62321.730148,60.516438216,-14.433043798
67010.776664,60.531954746,-15.527077496
72052.623996,60.51304528,-16.684775591
77473.816648,60.546700001,-17.914620291
83302.896316,60.506598434,-19.382769637
89570.552153,60.515289293,-20.516292283
96309.782347,60.522302161,-22.4677371
103556.06785,60.494613283,-23.850383248
111347.55916,60.537890845,-25.67689959
119725.27722,60.565483179,-27.796114152
128733.32936,60.533715932,-29.899368785
138419.14148,60.54930462,-32.000654179
148833.70782,60.553583525,-34.654131968
160031.85937,60.548228594,-37.250558052
172072.55258,60.568930199,-39.973857678
185019.17972,60.565899286,-43.108839306
198939.90269,60.531681851,-46.366902981
213908.01181,60.538170526,-50.221051612
230002.31175,60.580191989,-53.898080106
247307.53637,60.545101271,-58.197725391
265914.79485,60.580570072,-62.74174692
285922.05138,60.564091301,-67.421270796
307434.6409,60.5702224,-72.88505049
330565.82369,60.53910522,-78.567958671
355437.38166,60.601541009,-84.922951358
382180.2595,60.565237269,-91.990322415
410935.25411,60.56482916,-99.402982054
441853.75584,60.51968782,-107.7769778
475098.54558,60.453194164,-116.7914817
510844.65171,60.398398164,-126.9414584
549280.27165,60.283704002,-138.13428859
590607.76269,60.067556137,-150.57894609
635044.70733,59.762238721,-164.61645101
682825.05883,59.320963929,-179.89425286
734200.37296,58.563105167,163.5269869
789441.13237,57.490053378,145.90751949
848838.17065,56.088352113,128.05034165
912704.20354,54.344210426,110.4010015
981375.47527,52.299211072,93.152428847
1055213.5289,50.059370522,77.59419566
1134607.1098,47.627964823,62.488642273
1219974.2121,45.127309068,48.277209589
1311764.2798,42.554753421,34.905479286
1410460.5726,39.88681234,22.134811488
1516582.7104,37.20876757,9.629417709
1630689.409,34.374936898,-2.4187478324
1753381.4214,31.584254437,-14.450888508
1885304.7013,28.681709161,-25.89875596
2027153.803,25.718062734,-37.579975593
2179675.5391,22.638662895,-48.834276291
2343672.9116,19.493691483,-60.194697704
2520009.3399,16.269035242,-71.0686462
2709613.2066,13.017035099,-82.246603989
2913482.7452,9.6165195627,-92.985864649
3132691.2955,6.0707930641,-103.1159425
3368392.9548,2.5111675895,-113.24432668
3621828.6539,-1.2588753187,-124.10204606
3894332.6905,-4.6011739595,-133.27290744
